Keyword Stats 2026-01-09 at 07_34_16
"December 1, 2024 - November 30, 2025"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Dec 2024	Searches: Jan 2025	Searches: Feb 2025	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025
nauka angielskiego matura	INR	50	0%	0%	High	90	46.13	189.96																	
korepetycje angielski ceny	INR	500	0%	0%	Medium	55	3.45	91.83																	
ćwiczenia z angielskiego online	INR	50	0%	0%	Medium	57	33.41	129.64																	
lekcje angielskiego w domu	INR	50	0%	0%	High	100																			
angielski e korepetycje	INR	50	0%	0%	High	70	8.82	513.58																	
nauka angielskiego najlepsza metoda	INR	50	0%	0%	Medium	55	65.91	480.09																	
nauka angielskiego ćwiczenia	INR	50	0%	0%	High	99	36.91	149.05																	
to be język angielski	INR	50	0%	0%	Medium	60																			
nauka angielskiego w mowie	INR	50	0%	0%	High	89	36.60	224.17																	
angielski konwersacje wrocław	INR	50	0%	0%	Low	20	76.36	571.37																	
nauka angielskiego blog	INR	50	0%	0%	Medium	54																			
korepetycje angielski w domu	INR	50	0%	0%	High	73	59.30	469.71																	
matura angielski online	INR	500	0%	0%	Low	14	27.01	101.48																	
nauka angielskiego wymowa	INR	50	0%	0%	High	84	31.36	96.66																	
3 angielski	INR	50	0%	0%	Medium	34																			
angielska fonetyka	INR	500	0%	0%	Low	29	26.51	264.75																	
angielski 3	INR	500	-90%	-90%	High	100																			
angielski 6	INR	50	0%	0%	Low	11																			
angielski a0	INR	50	0%	0%	High	97	26.24	141.32																	
angielski bbc	INR	50	0%	0%	Low	18	26.04	173.75																	
angielski bezplatnie	INR	50	0%	0%	High	84	39.51	218.10																	
angielski biznesowy nauka	INR	50	0%	0%	High	74	116.46	733.50																	
angielski blog	INR	500	0%	0%	Low	1																			
angielski cena	INR	50	0%	0%	Low	29	114.08	219.53																	
angielski cennik	INR	50	0%	0%	Medium	50																			
angielski czas	INR	5000	0%	0%	High	85	0.50	53.12																	
angielski d	INR	50	0%	0%	Low	0																			
angielski dla	INR	50	0%	0%	Medium	41	63.11	272.69																	
angielski do	INR	50	0%	0%	Medium	44																			
angielski e	INR	50	0%	0%	Low	13																			
angielski english	INR	50	0%	0%	Low	18																			
angielski esl	INR	50	0%	0%	Low	26	56.36	184.25																	
angielski godziny	INR	500	0%	0%	Low	19	0.74	53.12																	
angielski ielts	INR	50	0%	0%	High	74	28.14	238.05																	
angielski jak wymawiać	INR	50	0%	0%	Low	16	16.60	59.39																	
angielski kurs darmowy	INR	50	0%	0%	Low	15																			
angielski materiały	INR	50	0%	0%	Medium	56	14.89	58.52																	
angielski materiały pdf	INR	50	0%	0%	Low	0																			
angielski matura korepetycje	INR	50	0%	0%	High	76	64.51	313.30																	
angielski matura kurs	INR	50	0%	0%	High	91	84.68	290.48																	
angielski matura nauka	INR	50	0%	0%	High	94	46.81	153.00																	
angielski mowa	INR	50	0%	0%	Low	33	23.05	107.73																	
angielski na	INR	50	0%	0%	Low	31	52.30	101.13																	
angielski na mature	INR	50	0%	0%	Medium	44	38.42	162.50																	
angielski nauka angielskiego	INR	50	0%	0%	Medium	54																			
angielski nauka pdf	INR	50	0%	0%	Medium	50																			
angielski nie	INR	50	0%	0%	Low	6																			
angielski o	INR	50	0%	0%	Low	6																			
angielski od	INR	50	0%	0%	Low	29																			
angielski od poczatku	INR	50	0%	0%	High	98	50.42	140.44																	
angielski online cwiczenia	INR	50	0%	0%	High	77	44.26	303.94																	
angielski online matura	INR	50	0%	0%	High	84	80.53	350.66																	
angielski online praca	INR	50	0%	0%	High	71	5.44	41.37																	
angielski online youtube	INR	50	0%	0%	Low	24	37.76	445.55																	
angielski pdf	INR	500	0%	0%	Low	10	37.31	99.67																	
angielski po	INR	50	0%	0%	Low	10																			
angielski portal	INR	50	0%	0%	Medium	43																			
angielski poziom	INR	5000	0%	0%	Low	26	0.98	51.70																	
angielski tablice	INR	50	0%	0%	High	100																			
angielski toefl	INR	50	0%	0%	High	89	4.88	119.40																	
angielski usa	INR	50	0%	0%	Low	10																			
angielski w	INR	50	0%	0%	Medium	56																			
angielski w biurze pdf	INR	50	0%	0%	Medium	50																			
angielski youtube	INR	500	0%	-90%	Low	6	30.56	125.54																	
angielski youtube lekcje	INR	50	0%	0%	Low	3																			
angielski youtube nauka	INR	50	0%	0%	Low	8	24.31	109.83																	
angielski z	INR	50	0%	0%	Medium	38	69.32	429.47																	
angielski z wymowa	INR	50	0%	0%	High	86	29.66	90.03																	
angielski zerowka	INR	50	-90%	0%	High	95	59.27	329.50																	
angielskie rozmowki	INR	500	0%	0%	High	93	23.28	141.34																	
angielskie rozmowy	INR	50	0%	0%	High	73	66.41	490.65																	
anglista online	INR	50	0%	0%	Medium	48																			
b2b english	INR	50	0%	0%	Low	19																			
bbc język angielski	INR	50	0%	0%	High	76																			
bbc kurs angielskiego	INR	50	0%	0%	High	72	26.68	107.66																	
bezplatna nauka angielskiego	INR	50	0%	0%	High	84	27.01	94.69																	
bezplatna nauka angielskiego w internecie	INR	50	0%	0%	High	84	40.96	162.45																	
biznesowy angielski pdf	INR	50	0%	0%	High	86																			
blog angielski	INR	5000	900%	0%	Low	0																			
blokada językowa	INR	50	0%	0%	Low	2																			
business english certyfikat	INR	50	0%	0%	Medium	55	54.22	196.26																	
business english nauka	INR	50	0%	0%	Medium	51	108.38	500.55																	
ceny angielski	INR	50	0%	0%	Low	0																			
certyfikat biznesowy angielski	INR	50	0%	0%	High	100																			
certyfikat business english	INR	50	0%	0%	Medium	55	54.22	196.26																	
certyfikat języka angielskiego online	INR	50	0%	0%	High	82	42.88	183.36																	
certyfikat kurs	INR	50	0%	-90%	Low	30																			
cw angielski	INR	50	0%	0%	Low	27																			
cwiczenia angielski online	INR	50	0%	0%	High	67	45.01	158.91																	
cwiczenia do angielskiego	INR	500	0%	0%	High	100	27.01	115.05																	
cwiczenia maturalne angielski	INR	50	-90%	-90%	High	100	11.34	71.68																	
cwiczenia wymowy	INR	50	0%	0%	Medium	57																			
cwiczenia z ang	INR	500	0%	0%	High	92	25.87	90.66																	
czas język angielski	INR	5000	0%	0%	High	84	0.49	14.48																	
czasu angielski	INR	50000	0%	0%	High	87	0.49	27.45																	
do angielski	INR	500	0%	0%	Medium	64	38.03	120.64																	
domowa nauka angielskiego	INR	50	0%	0%	High	80	14.51	185.36																	
dziekuje angielski	INR	50	0%	0%	Low	0																			
english nauka	INR	50	0%	0%	High	69	56.72	294.39																	
esl angielski	INR	50	0%	0%	Low	26	56.36	184.25																	
ewa online	INR	50	0%	0%	Low	0																			
face to face cennik	INR	50	0%	0%	Low	1																			
fonetycznie angielski	INR	500	0%	0%	Low	22	17.11	91.95																	
fonetyka jezyk angielski	INR	50	0%	0%	Low	9																			
fonetyka język angielski	INR	50	0%	0%	Low	5																			
godziny angielski	INR	500	0%	0%	Low	17	0.74	3.61																	
i do angielski	INR	50	0%	0%	Low	14																			
ielts a toefl	INR	50	0%	0%	Medium	46	12.46	193.61																	
ielts angielski	INR	50	0%	0%	High	73	23.30	133.24																	
ielts czy toefl	INR	50	0%	0%	Medium	43	3.17	88.68																	
jezyk angielski blog	INR	50	0%	0%	Low	0																			
jezyk angielski kursy	INR	500	0%	0%	High	87	66.87	526.41																	
jezyk angielski pdf	INR	50	0%	0%	Low	25																			
jezyk angielski poziom	INR	500	0%	0%	Medium	37	1.04	54.13																	
jezyk angielski studia	INR	50	0%	0%	Medium	35	22.77	138.84																	
jezyk angielski szkola	INR	50	0%	0%	Medium	34	141.88	1139.75																	
jezyk angielski w biznesie	INR	500	0%	0%	Low	29	95.43	232.78																	
jezyk angielski w pracy	INR	50	0%	0%	Low	13	244.99	1088.73																	
jezyk angielski wymowa	INR	50	0%	0%	High	96	18.01	55.22																	
język angielski 3	INR	50	-90%	0%	High	100																			
język angielski certyfikat	INR	50	0%	0%	Medium	62	19.13	110.58																	
język angielski cwiczenia	INR	500	0%	0%	High	76	26.08	104.62																	
język angielski czas	INR	50	0%	0%	High	86																			
język angielski fonetyka	INR	50	0%	0%	High	73																			
język angielski to be	INR	50	-90%	0%	Medium	63	35.11	227.68																	
język angielski wymowa	INR	50	0%	0%	Medium	65	25.49	155.97																	
język angielski wymowa fonetyczna	INR	50	0%	0%	Medium	52																			
język angielski youtube	INR	500	0%	0%	Low	10	22.97	68.27																	
język angielski zerówka	INR	50	0%	0%	High	83																			
język język angielski	INR	50	0%	0%	Low	19																			
język na angielski	INR	50	0%	0%	Low	8																			
język polski lekcja	INR	50	0%	0%	Low	24	27.35	47.62																	
konwersacje angielski pdf	INR	50	0%	0%	Low	19																			
konwersacje po angielsku wrocław	INR	50	0%	0%	High	74	103.39	595.51																	
korepetycje angielski cena za godzinę	INR	50	-90%	0%	Low	30	1.97	88.23																	
korepetycje angielski cennik	INR	50	0%	0%	Medium	57																			
korepetycje angielski ile za godzine	INR	50	0%	0%	Low	27	7.39	108.03																	
korepetycje angielski materiały	INR	50	0%	0%	Medium	50																			
korepetycje angielski przygotowanie do matury	INR	50	0%	0%	High	78	86.89	351.22																	
korepetycje angielski tomaszów lubelski	INR	50	0%	0%	Low	29	19.84	145.18																	
korepetycje matura angielski	INR	50	0%	0%	High	78	81.92	361.91																	
korepetycje po angielski	INR	500	0%	0%	Low	18	123.55	772.02																	
korepetycje z angielskiego cena za godzinę	INR	50	0%	0%	Medium	34	3.40	57.42																	
korepetycje z angielskiego cennik	INR	50	0%	∞	High	71																			
korepetycje z angielskiego ceny	INR	500	0%	900%	Low	4	5.61	132.93																	
korepetycje z angielskiego matura	INR	50	0%	0%	High	88	62.11	237.57																	
korepetycje z języka angielskiego cena	INR	50	0%	0%	Medium	35	3.46	54.02																	
kurs angielskiego cennik	INR	50	0%	0%	Low	33	56.55	893.07																	
kurs angielskiego ceny	INR	50	0%	0%	High	93	29.33	146.93																	
kurs angielskiego poziomy	INR	50	0%	0%	High	88	40.44	112.11																	
kurs angielskiego toefl	INR	50	0%	0%	Low	4																			
kurs angielskiego video	INR	50	∞	0%	High	100																			
kurs angielskiego youtube	INR	50	0%	0%	Medium	46	26.28	313.26																	
kurs certyfikat	INR	50	0%	0%	Medium	54	20.04	75.23																	
kurs jezykowy po ang	INR	50	0%	0%	Low	28	86.70	290.41																	
kurs jeżyka angielskiego	INR	500	0%	0%	High	80	72.58	433.30																	
kurs języka angielskiego przez internet	INR	50	0%	0%	Medium	43																			
kurs maturalny z angielskiego online	INR	50	0%	0%	High	96	101.81	228.52																	
kursy jezyka	INR	50	0%	0%	Medium	46	69.37	228.23																	
kursy jezykowe wroclaw	INR	50	0%	0%	High	79																			
lekcje angielskiego ceny	INR	50	-90%	0%	Medium	48	19.53	129.24																	
lekcje angielskiego youtube	INR	50	0%	0%	Low	33	24.03	117.00																	
let's angielski	INR	50	0%	0%	Low	2																			
materiały angielski	INR	50	0%	0%	Low	19																			
materiały do angielskiego	INR	50	0%	0%	High	100																			
materiały do nauki angielskiego online	INR	50	0%	0%	Low	14	39.61	107.13																	
materiały korepetycje angielski	INR	50	0%	0%	High	69																			
materiały na korepetycje z angielskiego	INR	50	0%	0%	High	78	32.28	163.85																	
materiały na lekcje angielskiego	INR	50	0%	0%	High	100																			
matura ang online	INR	50	0%	0%	Low	14																			
matura język angielski online	INR	50	0%	0%	Medium	57	55.16	214.80																	
matura online angielski	INR	500	0%	0%	Low	23	29.02	73.65																	
matura z angielskiego net	INR	50	0%	0%	Low	7																			
matura z angielskiego online	INR	500	900%	900%	Low	22	20.54	60.28																	
metody pracy język angielski	INR	50	0%	0%	Medium	44																			
miejsca angielski	INR	50	0%	0%	Low	0																			
mówienie angielski	INR	50	0%	0%	High	74	38.09	714.48																	
na naukę	INR	50	0%	0%	Low	0																			
native krakow	INR	50	0%	0%	Medium	33																			
native speaker praca	INR	50	0%	0%	Medium	42	5.11	36.91																	
nauczanie po angielsku	INR	50	0%	0%	Low	4																			
nauczyciel angielski praca	INR	500	0%	0%	Medium	41	1.23	9.53																	
nauczyciel angielskiego praca wrocław	INR	50	0%	0%	Medium	43																			
nauczyć się angielskiego	INR	50	0%	0%	High	80	63.63	232.23																	
nauka angie	INR	50	0%	0%	High	89	71.27	213.56																	
nauka angielskiego amerykańskiego	INR	50	0%	0%	High	89	55.05	201.03																	
nauka angielskiego bbc	INR	50	0%	0%	Medium	65	27.93	101.72																	
nauka angielskiego bezpłatna	INR	50	0%	0%	High	67	20.60	111.94																	
nauka angielskiego czasy	INR	50	0%	0%	High	88	37.34	93.86																	
nauka angielskiego filmiki	INR	50	0%	0%	High	71	23.41	52.95																	
nauka angielskiego godziny	INR	50	∞	0%	High	80																			
nauka angielskiego google	INR	50	0%	0%	High	71	17.11	84.52																	
nauka angielskiego jak zacząć	INR	50	0%	0%	Medium	65	39.07	125.62																	
nauka angielskiego materiały	INR	50	0%	0%	High	100	46.81	165.54																	
nauka angielskiego metody	INR	50	0%	0%	Medium	52	49.62	361.52																	
nauka angielskiego na mature	INR	50	0%	0%	Medium	49	74.87	209.84																	
nauka angielskiego online darmowa	INR	50	0%	0%	High	86	48.83	185.09																	
nauka angielskiego online free	INR	50	0%	0%	High	87	46.81	126.88																	
nauka angielskiego online praca	INR	50	0%	0%	Medium	52	4.92	92.73																	
nauka angielskiego pdf	INR	50	0%	0%	Medium	45	36.36	110.33																	
nauka angielskiego plan	INR	50	0%	0%	High	100																			
nauka angielskiego poziomy	INR	50	0%	0%	Medium	57																			
nauka angielskiego praca	INR	50	0%	0%	Medium	63	7.92	92.25																	
nauka angielskiego w pracy	INR	50	0%	0%	High	67																			
nauka angielskiego yt	INR	50	0%	0%	Low	23	56.72	259.90																	
nauka i praca	INR	50	0%	0%	Low	0																			
nauka konwersacji	INR	50	0%	0%	Medium	60																			
nauka mowy angielskiego	INR	50	0%	0%	Medium	47	36.52	125.54																	
nauka polski	INR	50	0%	0%	Low	12																			
od angielskiego	INR	50	0%	0%	Low	6																			
osoby angielski	INR	500	0%	0%	Low	19																			
pierwsze korepetycje z angielskiego	INR	50	0%	0%	Low	19																			
planer angielski	INR	50	0%	0%	High	100																			
polski lekcja	INR	50	0%	0%	Low	22	27.71	162.89																	
polski lekcje	INR	50	0%	0%	Low	22	27.71	162.89																	
polski nauka	INR	500	0%	0%	Low	11	27.47	73.41																	
powtorka z angielskiego	INR	50	0%	0%	High	71	25.14	108.75																	
praca angielski online	INR	50	0%	0%	High	74	6.10	59.42																	
praca dla nauczyciela angielskiego wrocław	INR	50	0%	0%	Medium	43																			
praca domowa z angielskiego	INR	50	0%	0%	Low	1																			
praca nauczyciel angielski	INR	50	0%	0%	Low	31	2.95	13.81																	
praca nauczyciel angielskiego online	INR	50	0%	0%	Medium	63	3.67	54.02																	
praca nauczyciel języka angielskiego wrocław	INR	50	0%	0%	Medium	34	1.01	2.74																	
praca online angielski	INR	50	0%	0%	High	81	6.81	42.74																	
praca z angielskiego	INR	50	0%	0%	Low	1																			
pytania angielski	INR	500	0%	0%	Low	12	20.48	88.27																	
pytania z angielskiego	INR	50	0%	0%	Low	29	24.79	72.91																	
rozmowki angielski	INR	5000	0%	0%	High	100	25.80	125.85																	
rozmówki z angielskiego	INR	50	0%	0%	High	98	22.02	522.77																	
speaking matura	INR	500	0%	0%	Low	18	31.55	144.43																	
sprawdz angielski	INR	50	0%	0%	Low	14	10.62	109.39																	
szkoła języków	INR	5000	-90%	0%	Low	27	89.09	386.22																	
tablice z angielskiego	INR	50	0%	0%	High	100																			
toefl czy ielts	INR	50	0%	0%	Low	29	2.46	73.23																	
toefl wroclaw	INR	50	0%	0%	High	80	24.42	319.88																	
toefl wrocław	INR	50	0%	0%	Medium	62	19.67	171.95																	
toeic kurs	INR	50	0%	0%	Low	30	81.94	134.57																	
uczenie się języków	INR	50	0%	0%	High	79	34.33	98.13																	
uczy angielskiego	INR	50	0%	0%	Low	33	60.32	138.39																	
uczymy sie angielskiego	INR	50	0%	0%	High	87	29.35	136.11																	
were angielski	INR	50	0%	0%	Low	0																			
wrocław na	INR	50	0%	0%	Low	5																			
wymowa fonetyczna angielski	INR	50	0%	0%	Low	32																			
wymowa jezyk angielski	INR	50	0%	0%	High	80	26.51	67.78																	
wymowa u po angielsku	INR	50	0%	0%	Low	1																			
wymowa z po angielsku	INR	50	0%	0%	Low	10																			
węgierski online	INR	50	0%	0%	Medium	35	15.66	196.93																	
youtube język angielski	INR	500	0%	900%	Low	11	25.08	89.68																	
youtube lekcje angielskiego	INR	50	0%	0%	Medium	38	30.12	117.85																	
zajęcia językowe	INR	50	0%	0%	Low	24	80.55	395.72																	
zerówka angielski	INR	50	0%	0%	Medium	54	67.52	162.95																	
znajomosc angielskiego	INR	50	0%	0%	Medium	51	0.98	62.39																	
ćwiczenia do angielskiego	INR	500	0%	0%	High	100	27.01	115.05																	
ćwiczenia język angielski	INR	500	0%	0%	High	91	31.51	87.00																	
ćwiczenia od angielskiego	INR	50	0%	0%	High	85	30.32	80.69																	
ćwiczenia online z angielskiego	INR	50	0%	0%	Medium	47	26.11	78.32																	
ćwiczenia słówek z angielskiego	INR	50	0%	0%	Medium	61	23.17	74.71																	
ćwiczenia z języka angielskiego online	INR	50	0%	0%	High	74	31.20	75.62																	
ćwiczenie z angielskiego	INR	50	0%	0%	High	67	39.45	70.22																	
